Unnamed: 0.1,Year_leisure,Period_leisure,Label_leisure,Value_leisure,date,Year_service,Period_service,Label_service,Value_service,Unnamed: 0,name,year,start date,end date,type,distance,size,smoke estimate,start_date_ym,end_date_ym
528,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17053,HEALTHY (2),1990,1990-06-25,1990-10-31,Wildfire,641.4429794182232,25.11593929981372,4.009788843321114,1990-06,1990-10
537,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17079,FURLOUGH (2),1990,1990-10-12,1990-10-31,Wildfire,642.5607896391282,19.85579282364085,4.0077252585062,1990-10,1990-10
546,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17096,PIEDRA #2 (3),1990,1990-06-19,1990-10-31,Wildfire,571.0053317548221,26.255896259403325,4.011495468955918,1990-06,1990-10
550,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17104,No Fire Name Provided (2),1990,1990-05-29,1990-10-31,Wildfire,570.5325245721749,14.994689762974131,4.006570479822433,1990-05,1990-10
551,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17106,RIBBON (2),1990,1990-11-05,1990-10-31,Wildfire,644.8636109503205,15.151156312375686,4.005873783252418,1990-11,1990-10
560,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17138,Rio 90-1 (2),1990,1990-05-15,1990-10-31,Wildfire,563.5579802671846,10.36425440875617,4.004597687714334,1990-05,1990-10
565,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17147,CUT-OFF (2),1990,1990-08-26,1990-10-31,Wildfire,642.3015553169473,9.7929937638233,4.003811680698403,1990-08,1990-10
572,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17165,TUNNEL (2),1990,1990-10-29,1990-10-31,Wildfire,646.3900039817709,7.811774400199008,4.003021308479432,1990-10,1990-10
577,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17182,HULSEY (2),1990,1990-10-16,1990-10-31,Wildfire,641.0503877627086,5.970975739592071,4.002328590643409,1990-10,1990-10
582,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17192,LTD (2),1990,1990-09-26,1990-10-31,Wildfire,635.4537865477544,5.018744945995877,4.001974472830377,1990-09,1990-10
592,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17212,nmbap-42 (2),1990,1990-05-01,1990-10-31,Wildfire,566.9733457567355,3.986768120985695,4.001757916906863,1990-05,1990-10
603,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17240,CANT BE (3),1990,1990-07-07,1990-10-31,Wildfire,456.0108283295741,2.580998501702598,4.001414987507619,1990-07,1990-10
620,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17277,CLAIRMONT (2),1990,1990-11-22,1990-10-31,Wildfire,649.4025205549121,1.0679634389631678,4.00041113308201,1990-11,1990-10
638,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17307,HIDDEN (2),1990,1990-09-23,1990-10-31,Wildfire,641.4062527460649,0.9340215607032504,4.000364052251091,1990-09,1990-10
646,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17328,Devils Backbone (2),1990,1990-07-03,1990-10-31,Wildfire,581.3243542293269,0.6145367906558449,4.000264283091783,1990-07,1990-10
656,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17353,PETE WHITE (2),1990,1990-08-19,1990-10-31,Wildfire,642.2407223194577,0.3427499652105327,4.000133419586029,1990-08,1990-10
673,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,17399,BIG TREE (3),1990,1990-06-23,1990-10-31,Wildfire,317.2445575296608,0.1012090447515549,4.000079756328635,1990-06,1990-10
721,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60870,UNIT 1A (1),1990,1990-11-29,1990-10-31,Wildfire,271.313287677768,1068.2392410237717,4.9843226350680006,1990-11,1990-10
722,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60873,PERKINS (1),1990,1990-08-13,1990-10-31,Wildfire,274.4293783325567,10799.345005728628,13.838000099830651,1990-08,1990-10
723,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60874,UNNAMED (1),1990,1990-12-08,1990-10-31,Unknown - Likely Wildfire,271.92481600089025,1431.7561874555709,3.316316223462006,1990-12,1990-10
729,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60882,U1WF90.SC (1),1990,1990-07-29,1990-10-31,Wildfire,288.0978262480496,1910.2714016082064,5.657658638461472,1990-07,1990-10
742,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60898,UNNAMED (1),1990,1990-06-23,1990-10-31,Unknown - Likely Wildfire,302.3055653058291,2890.541725015216,4.390413919514667,1990-06,1990-10
743,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60899,UNNAMED (1),1990,1990-06-25,1990-10-31,Unknown - Likely Wildfire,363.2418979827022,1518.146731686603,3.044859321101016,1990-06,1990-10
744,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60900,UNNAMED (1),1990,1990-07-04,1990-10-31,Unknown - Likely Wildfire,328.22275052539226,3483.271163328806,4.653130501887109,1990-07,1990-10
745,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60902,UNNAMED (1),1990,1990-07-02,1990-10-31,Unknown - Likely Wildfire,477.49090951752896,2000.79151625288,3.047554768254405,1990-07,1990-10
746,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60903,UNNAMED (1),1990,1990-06-23,1990-10-31,Unknown - Likely Wildfire,521.0501190417784,2786.0560197160744,3.336750495729512,1990-06,1990-10
747,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60904,SOLADA (1),1990,1990-06-02,1990-10-31,Wildfire,546.8909713949586,4487.944444851005,6.051571830397736,1990-06,1990-10
748,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60905,CHINATI MOUNTAIN FIRE (1),1990,1990-06-09,1990-10-31,Wildfire,476.37514124557646,22736.2307982317,15.9318940209513,1990-06,1990-10
749,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60906,CHUCKWAGON FIRE (1),1990,1990-06-25,1990-10-31,Wildfire,376.5337881302304,8287.543369437912,9.502523034248608,1990-06,1990-10
769,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60934,PETERSON (1),1990,1990-06-21,1990-10-31,Wildfire,377.653353005968,1666.0017479575993,5.102864395812256,1990-06,1990-10
770,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60935,GILESLEE (1),1990,1990-06-05,1990-10-31,Wildfire,366.38094770972185,2356.982714582173,5.608286900093926,1990-06,1990-10
771,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60936,UNNAMED (1),1990,1990-06-23,1990-10-31,Unknown - Likely Wildfire,514.9895682575776,6604.57081354158,5.206167280187621,1990-06,1990-10
773,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60941,GOOD (1),1990,1990-06-25,1990-10-31,Wildfire,460.4624319723158,1236.1362885818023,4.671138513562884,1990-06,1990-10
774,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60942,REDONDO (1),1990,1990-06-21,1990-10-31,Wildfire,408.2864353142193,5407.529122901438,7.311112404909911,1990-06,1990-10
775,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60943,MINE (1),1990,1990-06-30,1990-10-31,Wildfire,526.2440007160557,2552.6385829765723,5.212668733279248,1990-06,1990-10
777,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,60945,UNNAMED (1),1990,1990-11-02,1990-10-31,Wildfire,429.7440359723929,1526.576972253553,4.888073390477269,1990-11,1990-10
791,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67429,Teepee Fire (1),1990,1990-05-01,1990-10-31,Likely Wildfire,601.1750343291926,215.13238736007028,3.089463290670462,1990-05,1990-10
792,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67430,LAMY FIRE (1),1990,1990-05-01,1990-10-31,Likely Wildfire,581.09770646649,189.85470125453224,3.0816793368575617,1990-05,1990-10
797,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67435,Cooper (1),1990,1990-05-01,1990-10-31,Likely Wildfire,560.961715609934,120.01490834488008,3.053486229543485,1990-05,1990-10
800,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67438,Negro (1),1990,1990-05-01,1990-10-31,Likely Wildfire,550.9547275847469,80.25325006902202,3.036415537452974,1990-05,1990-10
801,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67439,Negro (1),1990,1990-05-01,1990-10-31,Likely Wildfire,551.5233312020644,79.78887213548833,3.036167496287775,1990-05,1990-10
803,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67441,Goat (1),1990,1990-05-01,1990-10-31,Likely Wildfire,593.7430247936238,50.28352903985791,3.0211722609530174,1990-05,1990-10
804,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67442,Deer Park (1),1990,1990-05-01,1990-10-31,Likely Wildfire,543.8269380708848,50.05351698301332,3.023009855470092,1990-05,1990-10
809,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67447,Ryan (1),1990,1990-05-01,1990-10-31,Likely Wildfire,597.4741482005558,30.18678353743711,3.0126309998634886,1990-05,1990-10
814,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67452,Guadalupe (1),1990,1990-05-01,1990-10-31,Likely Wildfire,619.7714210743818,17.168747082087314,3.006925435127488,1990-05,1990-10
815,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67453,1990 FIRE (1),1990,1990-05-01,1990-10-31,Likely Wildfire,572.8312236542439,16.843011893206224,3.0073507741886694,1990-05,1990-10
817,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67455,UNKNOWN (1),1990,1990-05-01,1990-10-31,Likely Wildfire,637.3855119932123,15.644425924689756,3.00613617097907,1990-05,1990-10
820,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67458,HUNTER (1),1990,1990-05-01,1990-10-31,Likely Wildfire,577.7142946268642,12.177849203795647,3.005269840696802,1990-05,1990-10
821,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67459,UNKNOWN (1),1990,1990-05-01,1990-10-31,Likely Wildfire,541.4975173186172,11.930177683188786,3.005507955854657,1990-05,1990-10
833,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67472,SPRINGCRK (1),1990,1990-05-01,1990-10-31,Likely Wildfire,345.82840230342543,6.953284513724596,3.005026542403264,1990-05,1990-10
834,1990,M10,Oct,9800.0,1990-10-01,1990,M10,Oct,90700.0,67473,KUDZU 2 (1),1990,1990-05-01,1990-10-31,Likely Wildfire,341.70190863564454,3.5146492980254203,3.002571429372504,1990-05,1990-10
1157,1991,M05,May,9300.0,1991-05-01,1991,M05,May,88600.0,17526,SHAKELFORD (3),1991,1991-05-02,1991-05-07,Wildfire,410.86119327403895,6284.43385590851,7.823939787200148,1991-05,1991-05
1169,1991,M06,Jun,9200.0,1991-06-01,1991,M06,Jun,88800.0,17617,LAVA (3),1991,1991-06-19,1991-06-29,Wildfire,641.6561739904438,553.1573748967545,4.215519384570355,1991-06,1991-06
1176,1991,M06,Jun,9200.0,1991-06-01,1991,M06,Jun,88800.0,18007,BIRTHDAY (3),1991,1991-06-28,1991-06-28,Wildfire,460.00365566146826,4.036061314168732,4.002193494151892,1991-06,1991-06
1183,1991,M06,Jun,9200.0,1991-06-01,1991,M06,Jun,88800.0,18190,TYLER (3),1991,1991-06-29,1991-06-29,Wildfire,336.207947619308,0.1015256203187431,4.00007549317397,1991-06,1991-06
1241,1991,M07,Jul,9200.0,1991-07-01,1991,M07,Jul,87500.0,18004,BEAR FIRE (3),1991,1991-07-01,1991-07-01,Wildfire,453.5160789917759,4.240799536602047,4.0023377338384725,1991-07,1991-07
1406,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17513,Unnamed  (2),1991,1991-05-05,1991-10-31,Wildfire,397.3355256536347,14023.81101798644,12.82365791160798,1991-05,1991-10
1414,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17525,Unnamed  (2),1991,1991-05-05,1991-10-31,Wildfire,396.4861067064534,6327.125142967224,7.989499906772043,1991-05,1991-10
1449,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17600,HENRY (3),1991,1991-06-02,1991-10-31,Wildfire,590.388990016557,810.3192042918023,4.343129368092161,1991-06,1991-10
1460,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17623,Georgetown (3),1991,1991-06-18,1991-10-31,Wildfire,636.1811776043459,504.2385382573292,4.19815052535668,1991-06,1991-10
1468,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17636,unknown (3),1991,1991-07-05,1991-10-31,Wildfire,572.3649270209345,411.3634797175849,4.179677099476843,1991-07,1991-10
1481,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17660,SMOKEY (3),1991,1991-10-01,1991-10-31,Wildfire,595.5973038123083,292.1970995549143,4.122648766912063,1991-10,1991-10
1499,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17692,Cloudy (3),1991,1991-07-09,1991-10-31,Wildfire,629.5245832102773,189.39334577127312,4.075212847449681,1991-07,1991-10
1530,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17761,REYNOLDS BRANCH 2 (2),1991,1991-11-18,1991-10-31,Wildfire,639.6744705155676,81.47430685480498,4.031842097273766,1991-11,1991-10
1542,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17782,Corral 9131 (2),1991,1991-10-10,1991-10-31,Wildfire,566.290025069136,60.97512020320398,4.026918680139104,1991-10,1991-10
1564,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17820,WILLY21 (2),1991,1991-11-14,1991-10-31,Wildfire,647.4960577999188,40.2976250479453,4.015559023318563,1991-11,1991-10
1565,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17822,No Fire Name Provided (5),1991,1991-05-23,1991-10-31,Wildfire,581.7505775439255,39.918480495697445,4.017154465348461,1991-05,1991-10
1570,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17841,WOLF (3),1991,1991-05-27,1991-10-31,Wildfire,618.743276559211,33.73920079811238,4.01363214845167,1991-05,1991-10
1585,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17877,Windmill (3),1991,1991-07-31,1991-10-31,Wildfire,638.5481128611174,21.204233263241427,4.008301736719663,1991-07,1991-10
1589,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17884,Sawmill (3),1991,1991-05-21,1991-10-31,Wildfire,628.5646467648015,19.986536004996253,4.007949276223164,1991-05,1991-10
1599,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17908,CAT (2),1991,1991-11-15,1991-10-31,Wildfire,647.9670329623135,15.541331826586832,4.005996189248833,1991-11,1991-10
1608,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17924,Apache 9132 (2),1991,1991-10-16,1991-10-31,Wildfire,572.4453256809047,11.91316542450194,4.005202752511924,1991-10,1991-10
1616,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17941,No Fire Name Provided (2),1991,1991-09-12,1991-10-31,Wildfire,591.4375346647342,9.995381609364456,4.004225036890426,1991-09,1991-10
1628,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17972,HITT 2 (2),1991,1991-12-20,1991-10-31,Wildfire,638.956071597582,12.023914160878633,4.004704515183186,1991-12,1991-10
1630,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17975,MOTORCYCLE (2),1991,1991-11-19,1991-10-31,Wildfire,635.0806441075738,5.987192254146951,4.002356862986495,1991-11,1991-10
1637,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,17990,COBBLER (2),1991,1991-11-10,1991-10-31,Wildfire,649.5289006149097,5.13906667756447,4.001977997696754,1991-11,1991-10
1647,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18011,GOAT (3),1991,1991-06-19,1991-10-31,Wildfire,458.361255894012,3.7972903917328296,4.00207112312772,1991-06,1991-10
1648,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18015,SPRINGS (3),1991,1991-05-21,1991-10-31,Wildfire,452.8872643630704,3.3544794675012906,4.001851718811424,1991-05,1991-10
1649,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18016,PHANTOM (3),1991,1991-05-27,1991-10-31,Wildfire,455.5355382581051,3.025995213945603,4.001660680100567,1991-05,1991-10
1650,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18017,LEDGE (3),1991,1991-06-09,1991-10-31,Wildfire,456.5492938418044,5.472683562615299,4.002996764881927,1991-06,1991-10
1657,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18028,SNAG (3),1991,1991-06-05,1991-10-31,Wildfire,454.247441789507,2.530829819672567,4.001392869605222,1991-06,1991-10
1660,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18034,TWIN #1 (3),1991,1991-06-09,1991-10-31,Wildfire,456.7962681128832,2.200863347381892,4.0012045103588925,1991-06,1991-10
1661,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18037,TWIN #2 (3),1991,1991-06-09,1991-10-31,Wildfire,456.7275114948202,2.1245933382227515,4.001162943595881,1991-06,1991-10
1687,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18087,FRED 2 (2),1991,1991-10-31,1991-10-31,Wildfire,648.0433414206695,0.9101909816443132,4.000351130442776,1991-10,1991-10
1698,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18105,BRIARPATCH (2),1991,1991-10-15,1991-10-31,Wildfire,641.1337865093541,0.5816952281285441,4.000226822872374,1991-10,1991-10
1717,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18145,ROCKY (2),1991,1991-10-15,1991-10-31,Wildfire,649.4667683107629,0.2783895363328915,4.00010716080865,1991-10,1991-10
1718,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18146,CHECK (2),1991,1991-11-10,1991-10-31,Wildfire,649.8669988017542,0.2772306847769326,4.000106649008678,1991-11,1991-10
1739,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,18191,GOAT SNAG (3),1991,1991-10-09,1991-10-09,Wildfire,316.85459474284704,0.100875347271849,4.000079591198096,1991-10,1991-10
1792,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,60996,UNNAMED (1),1991,1991-10-18,1991-10-31,Wildfire,401.2537962270058,2676.6345776317285,5.667669317275098,1991-10,1991-10
1854,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,61083,UNNAMED (1),1991,1991-05-16,1991-10-31,Unknown - Likely Wildfire,600.1731599922376,2315.2480604736884,2.964408363622772,1991-05,1991-10
1875,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,61165,UNNAMED (2),1991,1991-12-15,1991-10-31,Wildfire,482.59536970515074,3777.029046364145,5.9566231275031605,1991-12,1991-10
1896,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,67496,UNKNOWN (1),1991,1991-05-01,1991-10-31,Likely Wildfire,642.6444060796304,579.6930310976428,3.2255108056701163,1991-05,1991-10
1906,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,67506,UNKNOWN (1),1991,1991-05-01,1991-10-31,Likely Wildfire,537.2412191390517,260.0816721790721,3.12102648815548,1991-05,1991-10
1910,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,67510,UP MAINT (1),1991,1991-05-01,1991-10-31,Likely Wildfire,324.58609271746667,209.4817882859849,3.16134532022936,1991-05,1991-10
1921,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,67521,Ziplock (1),1991,1991-05-01,1991-10-31,Likely Wildfire,610.7738342358781,93.7709441023921,3.038382024100503,1991-05,1991-10
1922,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,67522,Francisquito (1),1991,1991-05-01,1991-10-31,Likely Wildfire,577.7838508550568,85.43723444817509,3.0369676455657846,1991-05,1991-10
1925,1991,M10,Oct,9500.0,1991-10-01,1991,M10,Oct,89200.0,67525,UNKNOWN (1),1991,1991-05-01,1991-10-31,Likely Wildfire,646.3436535686848,43.2121791879196,3.016714088143873,1991-05,1991-10
